pub_date	title	venue	citation	paper_url	code_url
2019-10-01	Structuring latent spaces for stylized response generation.	EMNLP	     Xiang Gao, *Yizhe Zhang*, Sungjin Lee, Michel Galley, Chris Brockett, Jianfeng Gao and Bill Dolan	https://arxiv.org/abs/1909.05361	https://github.com/golsun/StyleFusion
2020-10-01	Contextual Re-Ranking with Behavior Aware Transformers.	SIGIR	     Chen Qu, Chenyan Xiong, *Yizhe Zhang*, Corby Rosset, W. Bruce Croft and Paul Bennett	http://ciir-publications.cs.umass.edu/getpdf.php?id=1383	NONE
2020-10-01	Sequence Generation with Optimal-Transport-Enhanced Reinforcement Learning.	AAAI	     Liqun Chen, Ke Bai, Chenyang Tao, *Yizhe Zhang*, Guoyin Wang, Wenlin Wang, Ricardo Henao, Lawrence Carin	http://people.ee.duke.edu/~lcarin/AAAI-ChenLQ.9360.pdf	NONE
2020-10-01	Complementary Auxiliary Classifiers for Label-Conditional Text Generation.	AAAI	     Yuan Li, Chunyuan Li, *Yizhe Zhang*, Xiujun Li, Guoqing Zheng, Lawrence Carin, Jianfeng Gao	http://people.ee.duke.edu/~lcarin/AAAI_LiY_6828.pdf	NONE
2020-10-01	Adaptive Correlated Monte Carlo for Contextual Categorical Sequence Generation.	ICLR	     Xinjie Fan, *Yizhe Zhang*, Zhendong Wang, Mingyuan Zhou	https://openreview.net/forum?id=r1lOgyrKDS	NONE
2020-10-01	Improving Disentangled Text Representation Learning with Information Theoretical Guidance.	ACL	     Pengyu Cheng, Renqiang Min, Dinghan Shen, Christopher Malon, *Yizhe Zhang*, Yitong Li and Lawrence Carin	http://people.ee.duke.edu/~lcarin/Pengyu_ACL_2020.pdf	NONE
2020-10-01	INSET: Sentence Infilling with Inter-sentential Generative Pre-training.	ACL	     Yichen Huang, *Yizhe Zhang*, Oussama Elachqar, Yu Cheng	https://arxiv.org/abs/1911.03892	https://github.com/dreasysnail/INSET
2020-10-01	DialoGPT: Large-Scale Generative Pre-training for Conversational Response Generation.	system demonstration, ACL	     *Yizhe Zhang*, Siqi Sun, Michel Galley, Yen-Chun Chen, Chris Brockett, Xiang Gao, Jianfeng Gao, Jingjing Liu, Bill Dolan	https://arxiv.org/abs/1911.00536	https://github.com/microsoft/DialoGPT
2020-10-01	Datasets and Benchmarks for Task-Oriented Log Dialogue Ranking Task	Interspeech	Xinnuo Xu, *Yizhe Zhang*, Lars Liden, Sungjin Lee	none	none
2020-10-01	Weakly supervised cross-domain alignment with optimal transport Task	BMVC(oral presentation)	Siyang Yuan, Ke Bai, Liqun Chen, *Yizhe Zhang*, Chenyang Tao, Chunyuan Li, Guoyin Wang, Ricardo Henao, Lawrence Carin	https://arxiv.org/abs/2008.06597	none
2020-10-01	POINTER: Constrained Text Generation via Insertion-based Generative Pre-training.	EMNLP2020	     *Yizhe Zhang*, Guoyin Wang, Chunyuan Li, Zhe Gan, Chris Brockett, Bill Dolan	https://arxiv.org/abs/2005.00558	NONE
2020-10-01	Contextual Text Style Transfer.	EMNLP2020	     Yu Cheng, Zhe Gan, *Yizhe Zhang*, Oussama Elachqar, Dianqi Li, Jingjing Liu	https://arxiv.org/abs/2005.00136	NONE
2020-10-01	Optimus: Organizing Sentences via Pre-trained Modeling of a Latent Space.	EMNLP2020	     Chunyuan Li, Xiang Gao, Yuan Li, Xiujun Li, Baolin Peng, *Yizhe Zhang*, Jianfeng Gao	https://arxiv.org/abs/2004.04092	https://github.com/ChunyuanLI/Optimus
2020-10-01	Contextual Text Style Transfer.	EMNLP2020	     Yu Cheng, Zhe Gan, *Yizhe Zhang*, Oussama Elachqar, Dianqi Li, Jingjing Liu	https://arxiv.org/abs/2005.00136	NONE
2020-10-01	 Dialogue Response Ranking Training with Large-Scale Human Feedback Data.	EMNLP2020	     Xiang Gao, Yizhe Zhang, Michel Galley, Chris Brockett and Bill Dolan	None	https://github.com/golsun/DialogRPT
2020-10-01	 Improving Text Generation with Student-Forcing Optimal Transport.	EMNLP2020	     Jianqiao Li, Chunyuan Li, Guoyin Wang, Hao Fu, Yuhchen Lin, Liqun Chen, Yizhe Zhang, Chenyang Tao, Ruiyi Zhang, Wenlin Wang, Dinghan Shen, Qian Yang and Lawrence Carin	None	None


2020-12-01	Consistent Dialogue Generation with Self-supervised Feature Learning.	ArXiv preprint	     *Yizhe Zhang*, Xiang Gao, Sungjin Lee, Chris Brockett, Michel Galley, Jianfeng Gao, Bill Dolan	https://arxiv.org/abs/1903.05759	https://github.com/dreasysnail/CoCon
2020-12-01	Unsupervised Common Question Generation from Multiple Documents using Reinforced Contrastive Coordinator.	ArXiv preprint	     Woon Sang Cho, *Yizhe Zhang*, Sudha Rao, Asli Celikyilmaz, Chenyan Xiong, Jianfeng Gao, Mengdi Wang, Bill Dolan	https://arxiv.org/abs/1911.03047	NONE
2020-12-01	A Controllable Model of Grounded Response Generation.	ArXiv preprint	     Zeqiu Wu, Michel Galley, Chris Brockett, *Yizhe Zhang*, Xiang Gao, Chris Quirk, Rik Koncel-Kedziorski, Jianfeng Gao, Hannaneh Hajishirzi, Mari Ostendorf, Bill Dolan	https://arxiv.org/abs/2005.00613	NONE

